lambda_r,lambda_2,lambda_3,seed,forget_acc,retain_acc,trade_off,mia_asr,ss_leakage,epochs_run,elapsed_s,status
15.0,0.005,0.01,42,0.14130434393882751,0.2776831388473511,0.41965813891985937,0.48278985507246375,0.019394056871533394,-1,211.0,OK
15.0,0.005,0.03,42,0.14130434393882751,0.2776831388473511,0.41965813891985937,0.48278985507246375,0.019394056871533394,-1,212.3,OK
15.0,0.005,0.05,42,0.14130434393882751,0.2776831388473511,0.41965813891985937,0.48278985507246375,0.019394056871533394,-1,218.3,OK
15.0,0.01,0.01,42,0.14130434393882751,0.2776831388473511,0.41965813891985937,0.48278985507246375,0.019394056871533394,-1,208.7,OK
15.0,0.01,0.03,42,0.14130434393882751,0.2776831388473511,0.41965813891985937,0.48278985507246375,0.019394056871533394,-1,207.7,OK
15.0,0.01,0.05,42,0.14130434393882751,0.2776831388473511,0.41965813891985937,0.48278985507246375,0.019394056871533394,-1,205.8,OK
12.0,0.005,0.01,42,0.16847826540470123,0.2458830177783966,0.3795362383545596,0.473731884057971,0.019344862550497055,-1,207.1,OK
12.0,0.005,0.03,42,0.16847826540470123,0.2458830177783966,0.3795362383545596,0.473731884057971,0.019344862550497055,-1,212.6,OK
12.0,0.005,0.05,42,0.16847826540470123,0.2458830177783966,0.3795362383545596,0.473731884057971,0.019344862550497055,-1,209.0,OK
12.0,0.01,0.01,42,0.16847826540470123,0.2458830177783966,0.3795362383545596,0.473731884057971,0.019344862550497055,-1,204.6,OK
12.0,0.01,0.03,42,0.16847826540470123,0.2458830177783966,0.3795362383545596,0.473731884057971,0.019344862550497055,-1,207.2,OK
12.0,0.01,0.05,42,0.16847826540470123,0.2458830177783966,0.3795362383545596,0.473731884057971,0.019344862550497055,-1,204.8,OK
10.0,0.005,0.01,42,0.14130434393882751,0.27257239818573,0.4137953571756725,0.4846014492753623,0.019462181255221367,-1,208.8,OK
